Date,Close
01 January 2004,1708.76
01 February 2004,1695.91
01 March 2004,1720.46
01 April 2004,1754.58
01 May 2004,1464.7
01 June 2004,1485.47
01 July 2004,1598.03
01 August 2004,1617.66
01 September 2004,1738.82
01 October 2004,1756.22
01 November 2004,1937.06
01 December 2004,2076.6
01 January 2005,2042.59
01 February 2005,2094.9
01 March 2005,2019.48
01 April 2005,1921.8
01 May 2005,2089
01 June 2005,2204.14
01 July 2005,2361.85
01 August 2005,2427.2
01 September 2005,2648.65
01 October 2005,2412.56
01 November 2005,2696.92
01 December 2005,2872.9
01 January 2006,3030.48
01 February 2006,3145.15
01 March 2006,3424.42
01 April 2006,3625.81
01 May 2006,3123.42
01 June 2006,3121.62
01 July 2006,3144.99
01 August 2006,3441.59
01 September 2006,3670.43
01 October 2006,3830.09
01 November 2006,4020.01
01 December 2006,4049.88
01 January 2007,4144.63
01 February 2007,3785.73
01 March 2007,3820.58
01 April 2007,4079.1
01 May 2007,4331.85
01 June 2007,4411.11
01 July 2007,4642.35
01 August 2007,4557.41
01 September 2007,5201.1
01 October 2007,6026.89
01 November 2007,6022.95
01 December 2007,6469.48
01 January 2008,5475.75
01 February 2008,5454.89
01 March 2008,4775.04
01 April 2008,5335.69
01 May 2008,5036.3
01 June 2008,4077.25
01 July 2008,4343.32
01 August 2008,4420.41
01 September 2008,3881.11
01 October 2008,2873.31
01 November 2008,2668.26
01 December 2008,2893.06
01 January 2009,2778.39
01 February 2009,2619.5
01 March 2009,2866.66
01 April 2009,3366.3
01 May 2009,4419.68
01 June 2009,4391.46
01 July 2009,4742.39
01 August 2009,4770.79
01 September 2009,5179.58
01 October 2009,4833.24
01 November 2009,5170.57
01 December 2009,5353.23
01 January 2010,5050.54
01 February 2010,5079.94
01 March 2010,5394.12
01 April 2010,5439.84
01 May 2010,5243.91
01 June 2010,5476.7
01 July 2010,5542.87
01 August 2010,5584.08
01 September 2010,6163.86
01 October 2010,6171.18
01 November 2010,5962.87
01 December 2010,6191.51
01 January 2011,5550.03
01 February 2011,5370.5
01 March 2011,5855.53
01 April 2011,5795.29
01 May 2011,5638.16
01 June 2011,5686.26
01 July 2011,5531.7
01 August 2011,5062.17
01 September 2011,4995.67
01 October 2011,5334.14
01 November 2011,4831.73
01 December 2011,4598.21
01 January 2012,5202.65
01 February 2012,5406.46
01 March 2012,5315.15
01 April 2012,5268.41
01 May 2012,4942.13
01 June 2012,5279.22
01 July 2012,5229.16
01 August 2012,5251.07
01 September 2012,5701.39
01 October 2012,5620.99
01 November 2012,5908.97
01 December 2012,5975.74
01 January 2013,6091.49
01 February 2013,5720.1
01 March 2013,5678.7
01 April 2013,5941.35
01 May 2013,5991.11
01 June 2013,5802.3
01 July 2013,5707.16
01 August 2013,5447.15
01 September 2013,5723.4
01 October 2013,6270.72
01 November 2013,6177.75
01 December 2013,6326.72
01 January 2014,6071.02
01 February 2014,6235.99
01 March 2014,6707.28
01 April 2014,6715.36
01 May 2014,7345.12
01 June 2014,7742.66
01 July 2014,7799.72
01 August 2014,8016.74
01 September 2014,8015.71
01 October 2014,8383.91
01 November 2014,8644.37
01 December 2014,8369.27
01 January 2015,8903.1
01 February 2015,8994.46
01 March 2015,8606.6
01 April 2015,8321.56
01 May 2015,8550.51
01 June 2015,8464.09
01 July 2015,8653.31
01 August 2015,8120.97
01 September 2015,8077.41
01 October 2015,8193.87
01 November 2015,8082.02
01 December 2015,8097.57
01 January 2016,7651.7
01 February 2016,7075.44
01 March 2016,7835.45
01 April 2016,7973.88
01 May 2016,8276.73
01 June 2016,8429.96
01 July 2016,8856.01
01 August 2016,9021.45
01 September 2016,8863.71
01 October 2016,8928.2
01 November 2016,8479.68
01 December 2016,8386.69
01 January 2017,8831.71
01 February 2017,9190.73
01 March 2017,9494.36
01 April 2017,9669.96
01 May 2017,9928.65
01 June 2017,9852.86
01 July 2017,10432.76
01 August 2017,10315.16
01 September 2017,10172.64
01 October 2017,10776.46
01 November 2017,10705.43
01 December 2017,11029.78
01 January 2018,11419.07
01 February 2018,10864.95
01 March 2018,10502.61
01 April 2018,11152.97
01 May 2018,11040.77
01 June 2018,10987.71
01 July 2018,11625.85
01 August 2018,12016.97
01 September 2018,11140.99
01 October 2018,10661.72
01 November 2018,11119.17
01 December 2018,11161.02
01 January 2019,11054.82
01 February 2019,10988.69
01 March 2019,11809.19
01 April 2019,11868.07
01 May 2019,12044.07
01 June 2019,11909.67
01 July 2019,11210.78
01 August 2019,11139.78
01 September 2019,11580.94
01 October 2019,11999.14
01 November 2019,12142.8
01 December 2019,12236.19
01 January 2020,12082.99
01 February 2020,11292.68
01 March 2020,8668.98
01 April 2020,9951.25
01 May 2020,9697.9
01 June 2020,10410.76
01 July 2020,11158.96
01 August 2020,11480.92
01 September 2020,11391.75
01 October 2020,11720.76
01 November 2020,13050.61
01 December 2020,14100.47
01 January 2021,13797.78
01 February 2021,14723.98
01 March 2021,14863.54
01 April 2021,14833.77
01 May 2021,15822.33
01 June 2021,16009.72
01 July 2021,16108.48
01 August 2021,17375.21
01 September 2021,17880.57
01 October 2021,17921.27
01 November 2021,17319.15
01 December 2021,17625.51
01 January 2022,17618.04
01 February 2022,17043.27
01 March 2022,17723.94
01 April 2022,17574.51
01 May 2022,16887.92
01 June 2022,16014.13
01 July 2022,17530.28
01 August 2022,18222.39
01 September 2022,17574.98
01 October 2022,18405.94
01 November 2022,19081.7
01 December 2022,18425.17
01 January 2023,17935.75
01 February 2023,17538.2
01 March 2023,17601.67
01 April 2023,18324.96
01 May 2023,18909.41
01 June 2023,19571.34
01 July 2023,20150.32
01 August 2023,19764.93
01 September 2023,20123.3
01 October 2023,19558.03
01 November 2023,20718.71
01 December 2023,22384.89
01 January 2024,22509.19
01 February 2024,22921.27
01 March 2024,23294.04
01 April 2024,23759.67
01 May 2024,23771.04
01 June 2024,25397.77
01 July 2024,26438.85
01 August 2024,26726.58
01 September 2024,27338.6
01 October 2024,25526.3
01 November 2024,25546.61
01 December 2024,25061.75
01 January 2025,24311.95
